datetime,PM2.5,PM10,SO2,NO2,CO
2013-03-01,0.18333333333333335,0.1975,0.16583333333333333,0.35286458333333337,0.09739583333333333
2013-03-02,0.8714285714285714,0.8116666666666668,0.531077,0.73125,0.24164583333333334
2013-03-03,2.8095238095238093,2.631666666666667,0.8795516666666667,1.1682291666666667,0.53321875
2013-03-04,0.6940476190476191,0.8175,0.33023600000000003,0.5958955208333333,0.20833333333333334
2013-03-05,4.4071428571428575,3.663333333333333,1.088616,1.4950520833333334,0.5999427083333334
2013-03-06,5.90952380952381,4.638333333333333,1.088616,1.77109375,0.7124270833333334
2013-03-07,7.036904761904761,5.664166666666667,1.083257,1.740625,0.7833125
2013-03-08,4.555952380952381,3.959166666666667,0.947885,1.5229166666666667,0.6353854166666666
2013-03-09,1.6833333333333333,3.288333333333333,0.5699553333333334,0.7330729166666667,0.325453125
2013-03-10,1.0380952380952382,1.3291666666666666,0.385,0.6651041666666667,0.23123958333333333
2013-03-11,3.1892857142857145,2.995833333333333,1.043962,1.0390625,0.323890625
2013-03-12,3.6214285714285714,2.5166666666666666,0.5665513333333333,1.1109375,0.35202083333333334
2013-03-13,0.5273809523809524,0.4775,0.24333333333333332,0.45,0.12083333333333333
2013-03-14,2.7857142857142856,2.1066666666666665,0.7731156666666666,0.896875,0.35932291666666666
2013-03-15,6.064285714285714,4.59,1.0808723333333332,1.4369791666666667,0.5748541666666667
2013-03-16,6.530952380952381,4.63,1.0842056666666666,1.4958333333333333,0.58275
2013-03-17,6.553571428571429,5.075,1.0709876666666667,1.5846354166666665,0.5110943775100402
2013-03-18,1.4452380952380952,1.7216666666666667,0.30524366666666664,0.6190104166666667,0.49472891566265065
2013-03-19,1.1095238095238096,0.9516666666666667,0.22,0.6697916666666667,0.47304216867469884
2013-03-20,1.4630952380952382,1.1575,0.25452566666666665,0.4875,0.3628012048192771
2013-03-21,4.127380952380952,2.918333333333333,0.4683333333333334,0.9578125,0.3333333333333333
2013-03-22,2.380952380952381,2.4908333333333332,0.45166666666666666,0.653125,0.215625
2013-03-23,1.5214285714285714,1.6808333333333334,0.494295,0.5765625,0.2458125
2013-03-24,0.5142857142857142,0.5716666666666667,0.18583333333333332,0.29947916666666663,0.06354166666666666
2013-03-25,2.867857142857143,2.4141666666666666,0.7404776666666667,0.8139972916666667,0.24686458333333333
2013-03-26,4.33452380952381,3.28625,0.9335899999999999,1.0229166666666667,0.396765625
2013-03-27,2.4488095238095235,1.9491666666666665,0.3108333333333333,0.5770833333333333,0.22604166666666667
2013-03-28,0.8166666666666667,1.0783333333333334,0.16833333333333333,0.3640625,0.13125
2013-03-29,2.585714285714286,2.684166666666667,0.7232179999999999,0.8729166666666666,0.385359375
2013-03-30,2.275,2.1166666666666667,0.8218079999999999,0.6354166666666667,0.4041041666666667
2013-03-31,5.110714285714286,3.865,0.4041666666666666,0.8875,0.35932291666666666
2013-04-01,2.7226190476190477,2.3758333333333335,0.5828720000000001,0.5703125,0.3442395833333333
